owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
4763,Energy Power Partners,Pennsylvania,286500,LES Project Holdings,Renewable Energy,"Novi, Michigan, United States",2021-06-10,Divestiture,,,5.2,True,,0,0,https://mergr.com/company/286500,2026-09-07T00:00:00Z
4763,Energy Power Partners,Pennsylvania,208999,Talen Renewable Energy,Renewable Energy,"Allentown, Pennsylvania, United States",2015-11-02,Divestiture,,,10.8,True,,0,0,https://mergr.com/company/208999,2026-09-07T00:00:00Z
4763,Energy Power Partners,Pennsylvania,211193,McCommas Bluff Renewable Natural Gas Production Facility,Energy Services and Equipment,"Dallas, Texas, United States",2014-12-29,"Buyout (LBO, MBO, MBI)",,,11.7,True,,0,0,https://mergr.com/company/211193,2026-09-07T00:00:00Z
4763,Energy Power Partners,Pennsylvania,211195,Otay Landfill Gas Project,Renewable Energy,"Chula Vista, California, United States",2013-09-30,"Buyout (LBO, MBO, MBI)",,,12.9,True,,0,0,https://mergr.com/company/211195,2026-09-07T00:00:00Z
4763,Energy Power Partners,Pennsylvania,277323,Horizon Landfill Gas,Energy Services and Equipment,"Fort Wayne, Indiana, United States",2012-12-01,"Buyout (LBO, MBO, MBI)",,,13.8,True,,0,0,https://mergr.com/company/277323,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,24856,Maxcess,Machinery,"Oak Brook, Illinois, United States",2018-07-03,Secondary Buyout,,,8.2,True,,0,0,https://mergr.com/company/24856,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,30986,Caplugs,Plastics,"Buffalo, New York, United States",2015-04-15,Secondary Buyout,,,11.3,True,,1,0,https://mergr.com/company/30986,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,965,TASI,Test/Measurement Equipment,"Harrison, Ohio, United States",2014-06-17,Secondary Buyout,,,12.2,True,,2,0,https://mergr.com/company/965,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,3048,Oliver Products,Packaging,"Grand Rapids, Michigan, United States",2012-04-13,Secondary Buyout,,,14.3,True,,0,0,https://mergr.com/company/3048,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,19524,BWA Water Additives Ltd.,Chemicals,"Manchester, United Kingdom",2011-07-05,Divestiture,2018-12-10,Bankruptcy,7.4,False,,0,0,https://mergr.com/company/19524,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,19654,"Specialty Coating Systems, Inc.",Medical Products,"Indianapolis, Indiana, United States",2008-06-12,Secondary Buyout,2015-12-29,Divestiture,7.5,False,,0,0,https://mergr.com/company/19654,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,14105,Wellness Pet,Consumer Products,"Burlington, Massachusetts, United States",2007-10-01,Growth Capital,2020-11-18,Trade Sale - Public Company,13.1,False,,3,0,https://mergr.com/company/14105,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,19653,ECCO Safety Group,Safety/Security,"Boise, Idaho, United States",2007-09-27,"Buyout (LBO, MBO, MBI)",2021-01-06,Divestiture,13.3,False,,1,0,https://mergr.com/company/19653,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,5524,National Pen Co. LLC,Consumer Products,"San Diego, California, United States",2004-10-19,"Buyout (LBO, MBO, MBI)",2012-11-27,Trade Sale - Public Company,8.1,False,,0,0,https://mergr.com/company/5524,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,5522,"Elmer's Products, Inc.",Consumer Products,"Columbus, Ohio, United States",2003-10-16,Secondary Buyout,2015-10-22,Divestiture,12,False,,2,1,https://mergr.com/company/5522,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,5523,CRC Industries,Chemicals,"Horsham, Pennsylvania, United States",1981-01-01,"Buyout (LBO, MBO, MBI)",,,45.7,True,,3,0,https://mergr.com/company/5523,2026-09-07T00:00:00Z
723,Berwind,Pennsylvania,5521,Colorcon,Chemicals,"Harleysville, Pennsylvania, United States",1978-01-01,"Buyout (LBO, MBO, MBI)",,,48.7,True,,4,0,https://mergr.com/company/5521,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,195292,TowneBank,Financial Services,"Portsmouth, Virginia, United States",2026-05-06,Stake Purchase,,,0.3,True,834,0,0,https://mergr.com/company/195292,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,234973,Midland,Financial Services,"Effingham, Illinois, United States",2026-02-03,Stake Purchase,,,0.6,True,290,0,0,https://mergr.com/company/234973,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,333232,Ampersand,Financial Services,"Waukesha, Wisconsin, United States",2023-11-08,"Buyout (LBO, MBO, MBI)",,,2.8,True,,0,0,https://mergr.com/company/333232,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,298067,PatientFi,Financial Services,"Irvine, California, United States",2022-02-15,Growth Capital,,,4.5,True,,0,0,https://mergr.com/company/298067,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,280326,NYDIG,Information Technology,"New York City, New York, United States",2021-03-05,"Buyout (LBO, MBO, MBI)",,,5.5,True,,2,0,https://mergr.com/company/280326,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,333193,GBC,Financial Services,"Atlanta, Georgia, United States",2021-01-01,"Buyout (LBO, MBO, MBI)",,,5.7,True,,0,0,https://mergr.com/company/333193,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,245765,Byline Bank,Financial Services,"Chicago, Illinois, United States",2021-01-01,Stake Purchase,,,5.7,True,442,1,0,https://mergr.com/company/245765,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,330505,Amerant Bank,Financial Services,"Coral Gables, Florida, United States",2019-02-25,Stake Purchase,,,7.5,True,419,0,1,https://mergr.com/company/330505,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,333192,Fortis Bank,Financial Services,"Denver, Colorado, United States",2018-05-24,Stake Purchase,,,8.3,True,,0,0,https://mergr.com/company/333192,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,284475,Coastal States Bank,Financial Services,"Hilton Head Island, South Carolina, United States",2017-07-28,Stake Purchase,2025-07-01,IPO,7.9,False,82,1,0,https://mergr.com/company/284475,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,247661,First Bank,Financial Services,"Hamilton, New Jersey, United States",2016-06-01,Stake Purchase,,,10.3,True,147,1,0,https://mergr.com/company/247661,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,333155,Freedom Bank of Virginia,Financial Services,"Fairfax, Virginia, United States",2015-12-29,Stake Purchase,,,10.7,True,31,0,0,https://mergr.com/company/333155,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,221536,"Radius Bancorp, Inc.",Financial Services,"Boston, Massachusetts, United States",2015-10-07,"Buyout (LBO, MBO, MBI)",2020-02-18,Divestiture,4.3,False,,1,0,https://mergr.com/company/221536,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176839,Bannockburn Global Forex LLC,Financial Services,"Cincinnati, Ohio, United States",2014-08-01,Growth Capital,2019-06-19,Divestiture,4.8,False,,0,0,https://mergr.com/company/176839,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176875,First Mariner Bank,Financial Services,"Baltimore, Maryland, United States",2014-02-14,Recapitalization,2017-08-15,Divestiture,3.5,False,,0,0,https://mergr.com/company/176875,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,166881,MBT Financial Corp.,Financial Services,"Monroe, Michigan, United States",2013-12-23,PIPE,2018-10-10,Divestiture,4.8,False,46,0,0,https://mergr.com/company/166881,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176836,Bank of California,Financial Services,"Los Angeles, California, United States",2013-12-04,PIPE,,,12.8,True,1103,3,2,https://mergr.com/company/176836,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176845,"Beneficial Bancorp, Inc.",Financial Services,"Philadelphia, Pennsylvania, United States",2013-12-01,PIPE,2019-02-13,Spin Off,5.2,False,204,0,0,https://mergr.com/company/176845,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176879,Peapack-Gladstone,Financial Services,"Bedminster, New Jersey, United States",2013-12-01,PIPE,,,12.8,True,276,2,0,https://mergr.com/company/176879,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,137249,Sterling Bank,Financial Services,"Pearl River, New York, United States",2012-08-01,PIPE,2022-02-01,Spin Off,9.5,False,990,4,1,https://mergr.com/company/137249,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176851,Bank of North Carolina,Financial Services,"High Point, North Carolina, United States",2012-06-01,PIPE,,,14.3,True,231,1,0,https://mergr.com/company/176851,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,32591,NewtekOne,Business Services,"Boca Raton, Florida, United States",2012-04-30,PIPE,,,14.3,True,267,3,1,https://mergr.com/company/32591,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176832,"American Chartered Bancorp, Inc.",Financial Services,"Schaumburg, Illinois, United States",2011-09-26,Growth Capital,2015-11-23,Divestiture,4.1,False,,0,0,https://mergr.com/company/176832,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176877,"Palmetto Bancshares, Inc.",Financial Services,"Greenville, South Carolina, United States",2010-09-01,Recapitalization,2015-04-22,Divestiture,4.6,False,53,0,0,https://mergr.com/company/176877,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,26093,Heritage Commerce,Financial Services,"San Jose, California, United States",2010-06-21,PIPE,,,16.2,True,197,0,0,https://mergr.com/company/26093,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176881,Limestone Bank,Financial Services,"Louisville, Kentucky, United States",2010-06-01,PIPE,,,16.3,True,56,0,0,https://mergr.com/company/176881,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176876,"Florida Business BancGroup, Inc.",Financial Services,"Tampa, Florida, United States",2010-05-01,Growth Capital,2015-06-17,Divestiture,5.1,False,,0,0,https://mergr.com/company/176876,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,26095,"Square 1 Financial, Inc.",Financial Services,"Durham, North Carolina, United States",2010-05-01,PIPE,2015-10-07,Divestiture,5.4,False,,0,0,https://mergr.com/company/26095,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,26094,Heritage Oaks Bancorp.,Financial Services,"Paso Robles, California, United States",2010-03-12,PIPE,2016-12-13,Divestiture,6.8,False,77,1,0,https://mergr.com/company/26094,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176866,Community West Bancshares,Financial Services,"Fresno, California, United States",2009-12-01,PIPE,,,16.8,True,144,2,0,https://mergr.com/company/176866,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176883,Primis Financial,Financial Services,"McLean, Virginia, United States",2009-11-01,PIPE,,,16.8,True,141,1,0,https://mergr.com/company/176883,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,145977,"1st United Bancorp, Inc.",Financial Services,"Boca Raton, Florida, United States",2009-09-01,Growth Capital,2014-05-08,Divestiture,4.7,False,,1,0,https://mergr.com/company/145977,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,19662,Guaranty Bancorp,Financial Services,"Denver, Colorado, United States",2009-08-11,PIPE,,,17,True,160,3,0,https://mergr.com/company/19662,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,176865,"Cape Bancorp, Inc. ",Financial Services,"Cape May Court House, New Jersey, United States",2008-01-01,PIPE,2016-05-02,Divestiture,8.3,False,47,0,0,https://mergr.com/company/176865,2026-09-07T00:00:00Z
4289,Patriot Financial Partners,Pennsylvania,10266,Atlantic Capital,Financial Services,"Atlanta, Georgia, United States",2007-05-15,"Buyout (LBO, MBO, MBI)",2015-11-02,IPO,8.4,False,97,1,1,https://mergr.com/company/10266,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,309144,Axcel Learning,Education,"New York City, New York, United States",2026-03-17,Secondary Buyout,,,0.4,True,,0,0,https://mergr.com/company/309144,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,250843,Cognito,Internet Software and Services,"Columbia, South Carolina, United States",2025-05-12,Secondary Buyout,,,1.3,True,,0,0,https://mergr.com/company/250843,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,337911,Alliant,Marketing,"Brewster, New York, United States",2024-11-13,"Buyout (LBO, MBO, MBI)",,,1.8,True,,1,0,https://mergr.com/company/337911,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,325781,My Yield,Machinery,"Oelwein, Iowa, United States",2024-06-06,Recapitalization,,,2.3,True,,0,0,https://mergr.com/company/325781,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,323685,BenefitHub,Information Technology,"New York City, New York, United States",2024-04-10,"Buyout (LBO, MBO, MBI)",,,2.3,True,,1,0,https://mergr.com/company/323685,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,254140,Innovia Medical,Medical Products,"St. Paul, Minnesota, United States",2023-04-04,Secondary Buyout,,,3.4,True,,2,0,https://mergr.com/company/254140,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,324125,Treat Planet,Consumer Services,"Earth City, Missouri, United States",2023-01-25,Recapitalization,,,3.6,True,,1,0,https://mergr.com/company/324125,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,323776,Custom Agronomics,Chemicals,"Palm City, Florida, United States",2022-10-03,"Buyout (LBO, MBO, MBI)",,,3.9,True,,1,0,https://mergr.com/company/323776,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,297453,Concord,Internet Software and Services,"Scottsdale, Arizona, United States",2022-03-15,Growth Capital,2025-01-08,Trade Sale - Public Company,2.8,False,,1,0,https://mergr.com/company/297453,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,324128,Electron Microscopy Sciences,Life Science,"Morgantown, Pennsylvania, United States",2021-01-13,"Buyout (LBO, MBO, MBI)",,,5.6,True,,0,0,https://mergr.com/company/324128,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,273752,SLWM,Marketing,"Kansas City, Missouri, United States",2020-06-24,Consolidation,2022-09-26,Trade Sale - Public Company,2.3,False,,2,0,https://mergr.com/company/273752,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,273603,VitalPath,Medical Products,"New Hope, Minnesota, United States",2020-06-18,"Buyout (LBO, MBO, MBI)",,,6.2,True,,0,0,https://mergr.com/company/273603,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,267017,KICTeam,Manufacturing,"Auburn, Maine, United States",2020-05-01,Secondary Buyout,,,6.3,True,,1,0,https://mergr.com/company/267017,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,273745,Syntrio,Business Services,"Northbrook, Illinois, United States",2019-06-24,"Buyout (LBO, MBO, MBI)",2024-01-09,Divestiture,4.5,False,,1,0,https://mergr.com/company/273745,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,260865,Corsica Technologies,Information Technology,"Greenville, South Carolina, United States",2018-11-01,Growth Capital,,,7.8,True,,4,0,https://mergr.com/company/260865,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,88097,EiKO,Electrical Equipment,"Olathe, Kansas, United States",2018-06-13,Secondary Buyout,,,8.2,True,,0,0,https://mergr.com/company/88097,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,323691,VistaApex Solutions,Medical Products,"Racine, Wisconsin, United States",2018-06-01,"Buyout (LBO, MBO, MBI)",2024-04-10,Trade Sale - Public Company,5.8,False,,1,0,https://mergr.com/company/323691,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,97533,SwipeClock,Internet Software and Services,"South Jordan, Utah, United States",2017-07-12,Secondary Buyout,2024-05-15,Divestiture,6.8,False,,2,0,https://mergr.com/company/97533,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,240584,GPS TrackIt,Internet Software and Services,"Roswell, Georgia, United States",2017-06-07,"Buyout (LBO, MBO, MBI)",,,9.3,True,,4,0,https://mergr.com/company/240584,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,182861,Spirion,Software,"Tampa, Florida, United States",2015-01-14,"Buyout (LBO, MBO, MBI)",2018-04-17,Trade Sale - Public Company,3.3,False,,0,0,https://mergr.com/company/182861,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,103681,"Danville Materials, Inc.",Manufacturing,"San Ramon, California, United States",2014-06-08,"Buyout (LBO, MBO, MBI)",2016-02-02,Divestiture,1.6,False,,0,0,https://mergr.com/company/103681,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,13846,FoodChain ID,Test/Measurement Equipment,"Fairfield, Iowa, United States",2013-12-19,Secondary Buyout,2016-09-26,Trade Sale - Public Company,2.8,False,,0,0,https://mergr.com/company/13846,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,103693,"Mesker Door, Inc.",Building Materials,"Huntsville, Alabama, United States",2013-11-01,Recapitalization,2016-12-13,Divestiture,3.1,False,,1,0,https://mergr.com/company/103693,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,40593,RACO Wireless LLC,Communications,"Cincinnati, Ohio, United States",2012-10-09,Recapitalization,2014-12-15,Divestiture,2.2,False,,1,0,https://mergr.com/company/40593,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,1916,"DataSource, Inc.",Business Services,"Kansas City, Missouri, United States",2012-07-13,Secondary Buyout,2020-06-24,Spin Off,7.9,False,,0,0,https://mergr.com/company/1916,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,29046,"Nobles Worldwide, Inc.",Defense,"St. Croix Falls, Wisconsin, United States",2011-04-20,"Buyout (LBO, MBO, MBI)",2014-03-31,Trade Sale - Public Company,2.9,False,,0,0,https://mergr.com/company/29046,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,29047,TechDevice Corp.,Manufacturing,"Watertown, Massachusetts, United States",2011-01-31,"Buyout (LBO, MBO, MBI)",,,15.6,True,,1,0,https://mergr.com/company/29047,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,182461,"AdvancedCath, Inc.",Medical Products,"San Jose, California, United States",2011-01-01,"Buyout (LBO, MBO, MBI)",2015-04-10,Divestiture,4.3,False,,0,0,https://mergr.com/company/182461,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,28241,B+B SmartWorx,Electronics,"Ottawa, Illinois, United States",2008-04-07,Growth Capital,2015-11-16,Divestiture,7.6,False,,2,0,https://mergr.com/company/28241,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,29054,Inventus Power,Electrical Equipment,"Woodridge, Illinois, United States",2007-10-19,Recapitalization,2014-03-17,Trade Sale - Public Company,6.3,False,,1,0,https://mergr.com/company/29054,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,10366,Faxitron X-Ray LLC,Medical Products,"Lincolnshire, Illinois, United States",2007-03-20,"Buyout (LBO, MBO, MBI)",,,19.4,True,,1,0,https://mergr.com/company/10366,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,84873,MarginPoint,Software,"Laguna Hills, California, United States",2006-01-31,Venture,,,20.6,True,,0,0,https://mergr.com/company/84873,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,12441,"Nexiant, Inc.",Business Services,"Irvine, California, United States",2006-01-31,Venture,,,20.6,True,,0,0,https://mergr.com/company/12441,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,5071,Infiltrator Water Technologies LLC,Manufacturing,"Old Saybrook, Connecticut, United States",2005-09-30,"Buyout (LBO, MBO, MBI)",2015-05-28,Trade Sale - Public Company,9.6,False,275,1,0,https://mergr.com/company/5071,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,4761,ExtruMed LLC,Healthcare Services,"Placentia, California, United States",2005-08-31,Growth Capital,2009-03-09,Divestiture,3.5,False,,1,0,https://mergr.com/company/4761,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,29057,SmartFlow Technologies,Manufacturing,"Sanford, North Carolina, United States",2005-07-01,"Buyout (LBO, MBO, MBI)",,,21.2,True,,0,0,https://mergr.com/company/29057,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,29050,"Energy Solutions International, Inc.",Software,"Houston, Texas, United States",2004-10-20,"Buyout (LBO, MBO, MBI)",2010-09-20,Trade Sale - Public Company,5.9,False,,0,0,https://mergr.com/company/29050,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,29051,"DemandPoint, Inc.",Business Services,"Englewood, Colorado, United States",2004-08-31,Growth Capital,,,22,True,,0,0,https://mergr.com/company/29051,2026-09-07T00:00:00Z
2293,Inverness Graham Investments,Pennsylvania,10559,"SkyBitz, Inc.",Information Technology,"Sterling, Virginia, United States",2002-10-01,Venture,2012-02-01,Divestiture,9.3,False,,0,0,https://mergr.com/company/10559,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,344717,Superior Home Health,Healthcare Services,"Baton Rouge, Louisiana, United States",2026-01-07,"Buyout (LBO, MBO, MBI)",,,0.7,True,,3,0,https://mergr.com/company/344717,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,343583,Opensity Solutions,Information Technology,"Chicago, Illinois, United States",2025-11-10,Consolidation,,,0.8,True,,2,0,https://mergr.com/company/343583,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,155405,Collage Rehabilitation Partners,Healthcare Services,"Paoli, Pennsylvania, United States",2025-03-31,Secondary Buyout,,,1.4,True,,0,0,https://mergr.com/company/155405,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,330292,CloudFirst,Information Technology,"Melville, New York, United States",2024-11-04,"Buyout (LBO, MBO, MBI)",,,1.8,True,,1,0,https://mergr.com/company/330292,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,329439,Angeion Group,Business Services,"Philadelphia, Pennsylvania, United States",2024-10-07,"Buyout (LBO, MBO, MBI)",,,1.9,True,,3,0,https://mergr.com/company/329439,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,328679,QualX,Internet Software and Services,"Springfield, Virginia, United States",2024-09-11,"Buyout (LBO, MBO, MBI)",,,1.9,True,,0,0,https://mergr.com/company/328679,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,325300,Case Works,Business Services,"Austin, Texas, United States",2024-05-22,Growth Capital,2025-03-27,Spin Off,0.8,False,,0,0,https://mergr.com/company/325300,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,320410,Behavioral Framework,Consumer Services,"Rockville, Maryland, United States",2024-01-03,Growth Capital,,,2.7,True,,1,0,https://mergr.com/company/320410,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,12175,EOSIS,Healthcare Services,"New Brighton, Minnesota, United States",2023-10-01,Secondary Buyout,,,2.9,True,,0,0,https://mergr.com/company/12175,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,315029,KP Labs,Information Technology,"San Francisco, California, United States",2023-07-11,"Buyout (LBO, MBO, MBI)",,,3.1,True,,0,0,https://mergr.com/company/315029,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,322516,F2 Strategy,Marketing,"Chicago, Illinois, United States",2023-06-13,"Buyout (LBO, MBO, MBI)",,,3.2,True,,5,0,https://mergr.com/company/322516,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,349666,DataServ,Information Technology,"Westlake, Ohio, United States",2023-04-01,"Buyout (LBO, MBO, MBI)",,,3.4,True,,1,0,https://mergr.com/company/349666,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,349729,Northbridge University,Education,"Orlando, Florida, United States",2023-03-01,"Buyout (LBO, MBO, MBI)",,,3.5,True,,0,0,https://mergr.com/company/349729,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,346481,TJP,Marketing,"Conshohocken, Pennsylvania, United States",2023-01-16,"Buyout (LBO, MBO, MBI)",,,3.6,True,,1,0,https://mergr.com/company/346481,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,315856,ToxStrategies,Business Services,"Asheville, North Carolina, United States",2023-01-06,Growth Capital,,,3.7,True,,3,0,https://mergr.com/company/315856,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,307139,HBR Consulting - Advisory Business,Business Services,"Chicago, Illinois, United States",2022-11-15,Divestiture,,,3.8,True,,0,0,https://mergr.com/company/307139,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,305834,Definian,Information Technology,"Chicago, Illinois, United States",2022-10-11,"Buyout (LBO, MBO, MBI)",,,3.8,True,,2,0,https://mergr.com/company/305834,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,302128,Curtis Learning,Education,"Philadelphia, Pennsylvania, United States",2022-07-06,"Buyout (LBO, MBO, MBI)",,,4.2,True,,1,0,https://mergr.com/company/302128,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,10370,SolomonEdwards,Business Services,"Wayne, Pennsylvania, United States",2022-04-20,Secondary Buyout,,,4.3,True,,3,0,https://mergr.com/company/10370,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,298675,ProfitOptics,Information Technology,"Glen Allen, Virginia, United States",2022-04-14,"Buyout (LBO, MBO, MBI)",,,4.3,True,,0,0,https://mergr.com/company/298675,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,326822,Deep Water Point & Associates,Business Services,"McLean, Virginia, United States",2022-01-10,Growth Capital,,,4.6,True,,1,0,https://mergr.com/company/326822,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,2078,EducationDynamics,Marketing,"Lenexa, Kansas, United States",2021-10-07,Secondary Buyout,,,4.9,True,,3,0,https://mergr.com/company/2078,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,252468,LeapPoint,Information Technology,"Reston, Virginia, United States",2021-07-21,"Buyout (LBO, MBO, MBI)",2024-09-27,Divestiture,3.2,False,,0,0,https://mergr.com/company/252468,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,308375,InflowCX,Business Services,"Beaverton, Oregon, United States",2021-01-13,Growth Capital,2023-10-23,Divestiture,2.8,False,,4,0,https://mergr.com/company/308375,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,275165,Futura Mobility,Information Technology,"Horsham, Pennsylvania, United States",2020-08-12,"Buyout (LBO, MBO, MBI)",,,6,True,,3,0,https://mergr.com/company/275165,2026-09-07T00:00:00Z
1935,Renovus Capital,Pennsylvania,270508,Woven Health Collective,Marketing,"New York City, New York, United States",2019-11-25,Recapitalization,,,6.8,True,,6,0,https://mergr.com/company/270508,2026-09-07T00:00:00Z
