owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
1515,Mangrove Equity Partners,Florida,353264,Chamberlain Machine,Manufacturing,"Walpole, New Hampshire, United States",2026-08-26,"Buyout (LBO, MBO, MBI)",,,0,True,,0,0,https://mergr.com/company/353264,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,353259,Cascon,Manufacturing,"Yarmouth, Maine, United States",2026-08-26,"Buyout (LBO, MBO, MBI)",,,0,True,,0,0,https://mergr.com/company/353259,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,339798,Sphere Investigations,Business Services,"Tampa, Florida, United States",2025-03-14,Consolidation,,,1.4,True,,2,0,https://mergr.com/company/339798,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,266744,Griffin Gear,Manufacturing,"Roebuck, South Carolina, United States",2024-11-18,Secondary Buyout,,,1.8,True,,1,0,https://mergr.com/company/266744,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,350385,A&R Sealcoating,Business Services,"Waterford, Michigan, United States",2024-09-06,Growth Capital,,,1.9,True,,0,0,https://mergr.com/company/350385,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,328547,A & R Sealcoating,Construction,"Waterford, Michigan, United States",2024-09-06,Growth Capital,,,1.9,True,,0,0,https://mergr.com/company/328547,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,323916,Normco Pump & Power,Business Services,"Shawnee, Oklahoma, United States",2024-04-16,Growth Capital,,,2.3,True,,0,0,https://mergr.com/company/323916,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,323022,Wear-Concepts,Building Materials,"Liberty, Missouri, United States",2023-07-24,Growth Capital,,,3.1,True,,0,0,https://mergr.com/company/323022,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,307073,Atlas Greenhouse,Building Materials,"Alapaha, Georgia, United States",2022-10-26,"Buyout (LBO, MBO, MBI)",,,3.8,True,,1,0,https://mergr.com/company/307073,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,299285,Vintage Air,Automotive,"San Antonio, Texas, United States",2022-05-02,Growth Capital,2025-10-16,Trade Sale - Public Company,3.4,False,,0,0,https://mergr.com/company/299285,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,298596,STCR,Information Technology,"Endwell, New York, United States",2022-04-13,Growth Capital,,,4.3,True,,0,0,https://mergr.com/company/298596,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,307074,Seaside Waste Services,Environmental,"Hammonton, New Jersey, United States",2021-05-21,Growth Capital,2025-08-06,Divestiture,4.2,False,,0,0,https://mergr.com/company/307074,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,307071,MT2 Firing Range Experts,Environmental,"Arvada, Colorado, United States",2021-02-01,"Buyout (LBO, MBO, MBI)",,,5.6,True,,0,0,https://mergr.com/company/307071,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,278422,STAR Turbine,Energy Services and Equipment,"Marion, Ohio, United States",2020-11-18,Growth Capital,,,5.8,True,,0,0,https://mergr.com/company/278422,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,268626,Hi-Lite Airfield Services,Safety/Security,"Watertown, New York, United States",2020-01-30,Growth Capital,2021-01-04,Divestiture,0.9,False,,0,0,https://mergr.com/company/268626,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,307069,PPS,Safety/Security,"Alsip, Illinois, United States",2018-12-01,Consolidation,,,7.8,True,,1,0,https://mergr.com/company/307069,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,307072,Sharp Tooling Solutions,Manufacturing,"Romeo, Michigan, United States",2017-12-14,"Buyout (LBO, MBO, MBI)",2024-06-24,Divestiture,6.5,False,,0,0,https://mergr.com/company/307072,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,177958,Inline Filling Systems,Machinery,"Venice, Florida, United States",2016-06-30,Secondary Buyout,2020-12-08,Divestiture,4.4,False,,0,0,https://mergr.com/company/177958,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,279059,Wild Goose Filling,Machinery,"Louisville, Colorado, United States",2016-06-30,"Buyout (LBO, MBO, MBI)",2020-12-08,Divestiture,4.4,False,,1,0,https://mergr.com/company/279059,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,228327,DDM CONCUT,Manufacturing,"Tucker, Georgia, United States",2015-10-01,"Buyout (LBO, MBO, MBI)",,,10.9,True,,1,0,https://mergr.com/company/228327,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,200954,ChurchDesk,Internet Software and Services,"London, United Kingdom",2015-08-20,Growth Capital,,,11,True,,0,0,https://mergr.com/company/200954,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,199595,"ReadyLIFT Suspension, Inc.",Automotive,"Henderson, Nevada, United States",2015-02-01,Growth Capital,2018-10-29,Divestiture,3.7,False,,0,0,https://mergr.com/company/199595,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,199592,APR,Automotive,"Opelika, Alabama, United States",2014-04-01,Recapitalization,2017-11-16,Unknown,3.6,False,,0,0,https://mergr.com/company/199592,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,199591,Tioga,Electronics,"Brooklyn Center, Minnesota, United States",2013-06-28,"Buyout (LBO, MBO, MBI)",2017-08-07,Divestiture,4.1,False,,2,0,https://mergr.com/company/199591,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,32859,"North American Aviation Services, Inc.",Aerospace,"San Antonio, Texas, United States",2011-08-16,Recapitalization,2014-10-17,Divestiture,3.2,False,,1,0,https://mergr.com/company/32859,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,122805,Turbo Mach LLC,Manufacturing,"San Antonio, Texas, United States",2011-08-01,Recapitalization,2013-05-03,Divestiture,1.8,False,,0,0,https://mergr.com/company/122805,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,32858,"Westland Technologies, Inc.",Manufacturing,"Modesto, California, United States",2011-04-19,Recapitalization,2016-09-06,Divestiture,5.3,False,,0,0,https://mergr.com/company/32858,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,32857,Integrated Global Services,Chemicals,"Richmond, Virginia, United States",2010-08-26,"Buyout (LBO, MBO, MBI)",2014-05-15,Trade Sale - Public Company,3.7,False,,0,0,https://mergr.com/company/32857,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,24065,"Gayesco International, Inc.",Manufacturing,"Pasadena, Texas, United States",2010-01-13,Recapitalization,,,16.6,True,,0,0,https://mergr.com/company/24065,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,176133,"Excalibur Crossbow, Inc.",Aerospace,"Kitchener, Ontario, Canada",2010-01-01,"Buyout (LBO, MBO, MBI)",2014-01-08,Divestiture,4,False,,0,0,https://mergr.com/company/176133,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,14736,"R&H Supply, Inc.",Distribution,"Broussard, Louisiana, United States",2008-11-14,Recapitalization,,,17.8,True,,0,0,https://mergr.com/company/14736,2026-09-04T02:09:13Z
1515,Mangrove Equity Partners,Florida,32855,"Everett Laboratories, Inc.",Medical Products,"West Orange, New Jersey, United States",2008-08-20,Recapitalization,2010-03-16,Divestiture,1.5,False,,0,0,https://mergr.com/company/32855,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,352653,InStore Technology,Information Technology,"Bellevue, Washington, United States",2026-08-10,Growth Capital,,,0,True,,0,0,https://mergr.com/company/352653,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,342141,FSS Technologies,Safety/Security,"Arlington Heights, Illinois, United States",2025-10-28,Growth Capital,,,0.8,True,,0,0,https://mergr.com/company/342141,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,306528,Mile Marker,Marketing,"New York, New York, United States",2022-10-28,Growth Capital,,,3.8,True,,2,0,https://mergr.com/company/306528,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,319208,CyberSheath,Information Technology,"Reston, Virginia, United States",2021-12-14,Growth Capital,2024-05-22,Trade Sale - Public Company,2.4,False,,0,0,https://mergr.com/company/319208,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,70078,MotionPoint,Internet Software and Services,"Coconut Creek, Florida, United States",2021-04-01,Secondary Buyout,,,5.4,True,,2,0,https://mergr.com/company/70078,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,301614,Buchanan Technologies,Information Technology,"Grapevine, Texas, United States",2019-08-19,"Buyout (LBO, MBO, MBI)",,,7,True,,2,0,https://mergr.com/company/301614,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,257576,Array,Information Technology,"Greenwood Village, Colorado, United States",2019-01-17,Growth Capital,2024-08-05,Divestiture,5.5,False,,0,0,https://mergr.com/company/257576,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,218641,Metova,Information Technology,"Conway, Arkansas, United States",2018-05-01,Recapitalization,,,8.3,True,,0,0,https://mergr.com/company/218641,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,227105,Clarke Solutions,Packaging,"Fishers, Indiana, United States",2015-09-24,"Buyout (LBO, MBO, MBI)",2020-10-27,Unknown,5.1,False,,2,0,https://mergr.com/company/227105,2026-09-04T02:09:13Z
5390,Lightview Capital,Florida,221453,Acuant,Software,"Los Angeles, California, United States",2013-06-19,Growth Capital,2018-09-24,Trade Sale,5.3,False,,1,0,https://mergr.com/company/221453,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,28924,Sirchie,Consumer Products,"Youngsville, North Carolina, United States",2026-08-04,"Buyout (LBO, MBO, MBI)",,,0.1,True,,0,0,https://mergr.com/company/28924,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,338611,Schwenn Services,Business Services,"Winter Garden, Florida, United States",2025-07-22,"Buyout (LBO, MBO, MBI)",,,1.1,True,,0,0,https://mergr.com/company/338611,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,11278,Double B Foods,Food,"Arlington, Texas, United States",2024-10-17,Secondary Buyout,,,1.8,True,,0,0,https://mergr.com/company/11278,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,328366,MetalMart,Metals/Mining,"Commerce, California, United States",2024-08-12,"Buyout (LBO, MBO, MBI)",,,2,True,,0,0,https://mergr.com/company/328366,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,272023,FK Instrument,Manufacturing,"Clearwater, Florida, United States",2019-10-30,Recapitalization,,,6.8,True,,0,0,https://mergr.com/company/272023,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,5076,Fosbel,Business Services,"Cleveland, Ohio, United States",2019-05-13,"Buyout (LBO, MBO, MBI)",,,7.3,True,,1,0,https://mergr.com/company/5076,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,272029,Olympic Aviation,Distribution,"Cerritos, California, United States",2018-06-18,"Buyout (LBO, MBO, MBI)",,,8.2,True,,1,0,https://mergr.com/company/272029,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,247498,United Brands,Beverages,"San Diego, California, United States",2017-06-01,Growth Capital,,,9.3,True,,0,0,https://mergr.com/company/247498,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,238518,World Precision Instruments,Test/Measurement Equipment,"Sarasota, Florida, United States",2016-05-02,"Buyout (LBO, MBO, MBI)",,,10.3,True,,0,0,https://mergr.com/company/238518,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,203121,Parkview Health Services,Life Science,"Buffalo, New York, United States",2014-12-01,"Buyout (LBO, MBO, MBI)",2023-06-28,Divestiture,8.5,False,,2,0,https://mergr.com/company/203121,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,109541,Red Monkey Foods,Food,"Springfield, Missouri, United States",2014-03-01,Recapitalization,2017-01-18,Trade Sale - Public Company,2.8,False,,0,0,https://mergr.com/company/109541,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,177935,Aerial Wireless Services LLC,Infrastructure,"Bellingham, Massachusetts, United States",2013-11-01,Divestiture,2019-10-21,Bankruptcy,5.9,False,,0,0,https://mergr.com/company/177935,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,109533,Valley International Cold Storage,Real Estate,"Harlingen, Texas, United States",2013-07-01,"Buyout (LBO, MBO, MBI)",,,13.2,True,,0,0,https://mergr.com/company/109533,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,37225,Cole Kepro International,Manufacturing,"North Las Vegas, Nevada, United States",2011-09-01,Growth Capital,,,15,True,,1,0,https://mergr.com/company/37225,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,37317,Oberfields,Building Materials,"Columbus, Ohio, United States",2011-07-26,"Buyout (LBO, MBO, MBI)",2017-04-05,Trade Sale - Public Company,5.7,False,,2,0,https://mergr.com/company/37317,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,37257,Latina Boulevard Foods,Food,"Cheektowaga, New York, United States",2010-12-01,"Buyout (LBO, MBO, MBI)",,,15.8,True,,7,0,https://mergr.com/company/37257,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,4689,"Perfect Fit Industries, Inc.",Consumer Products,"Charlotte, North Carolina, United States",2010-06-01,"Buyout (LBO, MBO, MBI)",2015-11-01,Divestiture,5.4,False,,0,0,https://mergr.com/company/4689,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,22925,Thayer Power and Communications,Construction,"Pataskala, Ohio, United States",2010-03-01,Special Situations/Distressed,,,16.5,True,,0,0,https://mergr.com/company/22925,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,22924,Michigan Wheel,Marine,"Grand Rapids, Michigan, United States",2009-09-01,Special Situations/Distressed,,,17,True,,0,0,https://mergr.com/company/22924,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,13292,Quality Logging,Energy Services and Equipment,"Midland, Texas, United States",2008-03-01,Recapitalization,,,18.5,True,,1,0,https://mergr.com/company/13292,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,13291,After Six LLC,Apparel/Textiles,"Athens, Georgia, United States",2008-02-01,"Buyout (LBO, MBO, MBI)",,,18.6,True,,2,0,https://mergr.com/company/13291,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,6695,King Canopy,Distribution,"Fuquay Varina, North Carolina, United States",2006-11-01,"Buyout (LBO, MBO, MBI)",,,19.8,True,,0,0,https://mergr.com/company/6695,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,37241,LaBella Sausage LLC,Food,"Brooksville, Florida, United States",2006-09-01,"Buyout (LBO, MBO, MBI)",2013-10-01,Divestiture,7.1,False,,0,0,https://mergr.com/company/37241,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,6692,Hastings Manufacturing,Automotive,"Hastings, Michigan, United States",2005-12-01,Special Situations/Distressed,2013-05-01,Trade Sale - Public Company,7.4,False,,0,0,https://mergr.com/company/6692,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,6697,TexStyle LLC,Apparel/Textiles,"Cincinnati, Ohio, United States",2005-12-01,"Buyout (LBO, MBO, MBI)",,,20.8,True,,0,0,https://mergr.com/company/6697,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,178079,Digital Excellence LLC,Technology Hardware,"Minneapolis, Minnesota, United States",2002-01-01,"Buyout (LBO, MBO, MBI)",2006-11-01,Divestiture,4.8,False,,0,0,https://mergr.com/company/178079,2026-09-04T02:09:13Z
843,The Anderson Group,Florida,20466,"ATCO Products, Inc.",Automotive,"Ferris, Texas, United States",1997-02-13,"Buyout (LBO, MBO, MBI)",,,29.5,True,,0,0,https://mergr.com/company/20466,2026-09-04T02:09:13Z
7098,Tarte Capital,Florida,352431,Genergy,Internet Software and Services,"New York, New York, United States",2026-08-04,Acquisition Financing,,,0.1,True,,1,0,https://mergr.com/company/352431,2026-09-04T02:09:13Z
7098,Tarte Capital,Florida,352789,TPD Design House,Business Services,"Wayne, Pennsylvania, United States",2026-07-30,Growth Capital,,,0.1,True,,0,0,https://mergr.com/company/352789,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,349493,AccuCast,Distribution,"Waco, Texas, United States",2026-05-20,Growth Capital,,,0.3,True,,0,0,https://mergr.com/company/349493,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,319832,Seacoast Service Partners,Business Services,"Miami, Florida, United States",2023-12-11,Consolidation,,,2.7,True,,12,0,https://mergr.com/company/319832,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,308351,CEIS,Business Services,"Miami, Florida, United States",2022-12-09,"Buyout (LBO, MBO, MBI)",,,3.7,True,,4,0,https://mergr.com/company/308351,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,98241,Weatherhaven,Construction,"Burnaby, British Columbia, Canada",2021-09-15,Secondary Buyout,,,4.9,True,,0,0,https://mergr.com/company/98241,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,298894,JS Global,Construction,"Upper Marlboro, Maryland, United States",2021-02-01,Recapitalization,,,5.6,True,,1,0,https://mergr.com/company/298894,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,304967,NewCo Plastics,Plastics,"Miami, Florida, United States",2020-03-01,"Buyout (LBO, MBO, MBI)",,,6.5,True,,3,0,https://mergr.com/company/304967,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,267072,Temporary Housing Directory,Business Services,"Plano, Texas, United States",2019-11-30,Recapitalization,2021-10-01,Divestiture,1.8,False,,0,0,https://mergr.com/company/267072,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,241599,Consolidated Machine & Tool Holdings,Aerospace,"Miami, Florida, United States",2017-07-10,Consolidation,,,9.1,True,,9,0,https://mergr.com/company/241599,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,230621,NSC Technologies,Staffing,"Atlanta, Georgia, United States",2016-11-11,Recapitalization,,,9.8,True,,6,0,https://mergr.com/company/230621,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,222133,Consulting Solutions International,Information Technology,"Jacksonville, Florida, United States",2016-06-16,Recapitalization,,,10.2,True,,8,0,https://mergr.com/company/222133,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,216165,Stag Arms,Defense,"Cheyenne, Wyoming, United States",2016-02-29,"Buyout (LBO, MBO, MBI)",,,10.5,True,,0,0,https://mergr.com/company/216165,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,190089,Technicut Tool,Manufacturing,"Windsor, Ontario, Canada",2015-05-31,Recapitalization,,,11.3,True,,0,0,https://mergr.com/company/190089,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,72025,Aero Precision,Defense,"Tacoma, Washington, United States",2013-11-08,Recapitalization,,,12.8,True,,3,0,https://mergr.com/company/72025,2026-09-04T02:09:13Z
2355,White Wolf Capital,Florida,36461,Hilco Technologies,Manufacturing,"Grand Rapids, Michigan, United States",2012-08-28,Recapitalization,2021-07-16,Divestiture,8.8,False,,0,0,https://mergr.com/company/36461,2026-09-04T02:09:13Z
7052,Hall Capital Holdings,Florida,349242,BatteryPlex,E-Commerce,"Coral Springs, Florida, United States",2026-05-18,"Buyout (LBO, MBO, MBI)",,,0.3,True,,0,0,https://mergr.com/company/349242,2026-09-04T02:09:13Z
7052,Hall Capital Holdings,Florida,349010,AC Direct,E-Commerce,"Winter Park, Florida, United States",2026-05-11,"Buyout (LBO, MBO, MBI)",,,0.3,True,,0,0,https://mergr.com/company/349010,2026-09-04T02:09:13Z
6557,Grovecourt Capital Partners,Florida,348219,Guide Architecture,Engineering,"Dallas, Texas, United States",2026-04-20,Growth Capital,,,0.3,True,,0,0,https://mergr.com/company/348219,2026-09-04T02:09:13Z
6557,Grovecourt Capital Partners,Florida,334092,IMRIS,Medical Products,"Chaska, Minnesota, United States",2025-02-19,"Buyout (LBO, MBO, MBI)",,,1.5,True,,0,0,https://mergr.com/company/334092,2026-09-04T02:09:13Z
6557,Grovecourt Capital Partners,Florida,317455,TMC,Engineering,"Orlando, Florida, United States",2023-08-28,"Buyout (LBO, MBO, MBI)",,,3,True,,4,0,https://mergr.com/company/317455,2026-09-04T02:09:13Z
6557,Grovecourt Capital Partners,Florida,314110,Premier Radiology Services,Healthcare Services,"Deerfield Beach, Florida, United States",2023-06-12,"Buyout (LBO, MBO, MBI)",,,3.2,True,,3,0,https://mergr.com/company/314110,2026-09-04T02:09:13Z
7035,Swaney Group Capital,Florida,347531,Apex Dental Laboratory Group,Healthcare Services,"Waco, Texas, United States",2026-03-31,Growth Capital,,,0.4,True,,0,0,https://mergr.com/company/347531,2026-09-04T02:09:13Z
7027,NewMile Capital,Florida,347177,Wilkerson Crane Rental,Business Services,"Bonner Springs, Kansas, United States",2026-03-17,Growth Capital,,,0.4,True,,0,0,https://mergr.com/company/347177,2026-09-04T02:09:13Z
7027,NewMile Capital,Florida,288865,OnPoint,Insurance,"Clarksville, Indiana, United States",2023-01-24,Acquisition Financing,,,3.6,True,,0,0,https://mergr.com/company/288865,2026-09-04T02:09:13Z
7027,NewMile Capital,Florida,288810,Newcleus,Financial Services,"Yardley, Pennsylvania, United States",2021-08-03,"Buyout (LBO, MBO, MBI)",,,5.1,True,,0,0,https://mergr.com/company/288810,2026-09-04T02:09:13Z
7027,NewMile Capital,Florida,315055,Mission Loans,Financial Services,"Irvine, California, United States",2020-12-01,"Buyout (LBO, MBO, MBI)",,,5.8,True,,0,0,https://mergr.com/company/315055,2026-09-04T02:09:13Z
7027,NewMile Capital,Florida,315057,Strong Home Mortgage,Financial Services,"Manassas, Virginia, United States",2020-06-01,"Buyout (LBO, MBO, MBI)",,,6.3,True,,0,0,https://mergr.com/company/315057,2026-09-04T02:09:13Z
7027,NewMile Capital,Florida,298192,EdgeCo Holdings,Financial Services,"Pittsburgh, Pennsylvania, United States",2018-06-01,"Buyout (LBO, MBO, MBI)",,,8.3,True,,1,1,https://mergr.com/company/298192,2026-09-04T02:09:13Z
7027,NewMile Capital,Florida,280828,Milestone Bank,Financial Services,"Troy, Michigan, United States",2013-11-15,Growth Capital,,,12.8,True,,0,0,https://mergr.com/company/280828,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,344539,Structurely,Internet Software and Services,"Ames, Iowa, United States",2026-01-06,"Buyout (LBO, MBO, MBI)",,,0.6,True,,0,0,https://mergr.com/company/344539,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,296614,Local Motors,Automotive,"Chandler, Arizona, United States",2021-05-06,Growth Capital,2022-03-24,Bankruptcy,0.8,False,,0,0,https://mergr.com/company/296614,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,291915,The United Green,Staffing,"Auburn Hills, Michigan, United States",2021-03-11,Growth Capital,,,5.4,True,,0,0,https://mergr.com/company/291915,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,282042,Perrone Robotics,Software,"Charlottesville, Virginia, United States",2021-02-22,Growth Capital,,,5.5,True,,0,0,https://mergr.com/company/282042,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,263141,Ilera Healthcare,Agriculture,"Plymouth Meeting, Pennsylvania, United States",2020-12-21,Divestiture,,,5.7,True,,0,0,https://mergr.com/company/263141,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,291914,Pro-Tech Group,Transportation,"Southfield, Michigan, United States",2020-10-13,Growth Capital,,,5.8,True,,0,0,https://mergr.com/company/291914,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,258760,Curaleaf,Consumer Products,"Stamford, Connecticut, United States",2020-05-11,Stake Purchase,,,6.3,True,1268,10,0,https://mergr.com/company/258760,2026-09-04T02:09:13Z
6156,CapStone Holdings,Florida,296608,City Foundry STL,Real Estate,"St. Louis, Missouri, United States",2020-03-03,Growth Capital,,,6.5,True,,0,0,https://mergr.com/company/296608,2026-09-04T02:09:13Z
6916,Legacy Holdings,Florida,342636,PMT Site,Business Services,"Hermitage, Tennessee, United States",2025-11-08,Add-on Acquisition,,,0.8,True,,0,0,https://mergr.com/company/342636,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,341427,GenAspire,Internet Software and Services,United States,2025-10-07,"Buyout (LBO, MBO, MBI)",,,0.8,True,,0,0,https://mergr.com/company/341427,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,274043,PayOnWard,Internet Software and Services,"Boca Raton, Florida, United States",2022-11-15,Consolidation,,,3.8,True,,0,0,https://mergr.com/company/274043,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,333723,Veep,Software,"Boca Raton, Florida, United States",2022-09-08,Consolidation,,,3.9,True,,0,0,https://mergr.com/company/333723,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,333722,Digital Joy,Internet Software and Services,"Miami Beach, Florida, United States",2022-01-01,"Buyout (LBO, MBO, MBI)",,,4.7,True,,0,0,https://mergr.com/company/333722,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,27497,Grass Valley,Media,"San Francisco, California, United States",2020-02-04,Divestiture,,,6.6,True,,0,0,https://mergr.com/company/27497,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,266897,Maginus Software Solutions,Software,"Manchester, United Kingdom",2019-12-03,"Buyout (LBO, MBO, MBI)",,,6.8,True,,0,0,https://mergr.com/company/266897,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,4581,Enterworks,Internet Software and Services,"Sterling, Virginia, United States",2017-09-05,Growth Capital,2019-02-14,Spin Off,1.4,False,,0,0,https://mergr.com/company/4581,2026-09-04T02:09:13Z
5266,Black Dragon Capital,Florida,259120,Open Banking Solutions,Internet Software and Services,"Boca Raton, Florida, United States",2014-01-01,"Buyout (LBO, MBO, MBI)",,,12.7,True,,1,0,https://mergr.com/company/259120,2026-09-04T02:09:13Z
6764,Palm Peak Capital,Florida,31855,Domaille Engineering,Manufacturing,"Rochester, Minnesota, United States",2025-10-01,Divestiture,,,0.9,True,,0,0,https://mergr.com/company/31855,2026-09-04T02:09:13Z
6764,Palm Peak Capital,Florida,266878,Pacific Shoring,Manufacturing,"Santa Rosa, California, United States",2025-01-13,Secondary Buyout,,,1.6,True,,1,0,https://mergr.com/company/266878,2026-09-04T02:09:13Z
5620,Osceola Caital Management,Florida,338980,Fortify Restoration,Construction,"Tampa, Florida, United States",2025-07-10,Consolidation,,,1.1,True,,2,0,https://mergr.com/company/338980,2026-09-04T02:09:13Z
5620,Osceola Caital Management,Florida,333675,Bakers' Signs,Manufacturing,"Conroe, Texas, United States",2024-12-27,"Buyout (LBO, MBO, MBI)",,,1.7,True,,0,0,https://mergr.com/company/333675,2026-09-04T02:09:13Z
5620,Osceola Caital Management,Florida,328896,Valor Exterior Partners,Business Services,"Cincinnati, Ohio, United States",2024-09-18,"Buyout (LBO, MBO, MBI)",,,1.9,True,,7,0,https://mergr.com/company/328896,2026-09-04T02:09:13Z
5620,Osceola Caital Management,Florida,338970,Trauma Services,Business Services,"Mansfield, Massachusetts, United States",2024-04-10,Recapitalization,,,2.3,True,,0,0,https://mergr.com/company/338970,2026-09-04T02:09:13Z
5620,Osceola Caital Management,Florida,309565,Flotilla Partners,Business Services,"Tampa, Florida, United States",2023-02-01,"Buyout (LBO, MBO, MBI)",,,3.6,True,,7,0,https://mergr.com/company/309565,2026-09-04T02:09:13Z
5620,Osceola Caital Management,Florida,316415,Sightline Services,Marketing,"Houston, Texas, United States",2023-01-01,"Buyout (LBO, MBO, MBI)",,,3.7,True,,0,0,https://mergr.com/company/316415,2026-09-04T02:09:13Z
